Notes,Age,Age Code,Vaccine Type,Vaccine Type Code,Sex,Sex Code,Events Reported,Percent
,< 6 months,0,"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT",RV5,Unknown,U,1022,0.15%
Total,< 6 months,0,"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT",RV5,,,8959,1.32%
,< 6 months,0,RUBELLA VACCINE,RUB,Female,F,1,0.00%
,< 6 months,0,RUBELLA VACCINE,RUB,Male,M,1,0.00%
Total,< 6 months,0,RUBELLA VACCINE,RUB,,,2,0.00%
,< 6 months,0,SMALLPOX VACCINE,SMALL,Female,F,17,0.00%
,< 6 months,0,SMALLPOX VACCINE,SMALL,Male,M,18,0.00%
,< 6 months,0,SMALLPOX VACCINE,SMALL,Unknown,U,2,0.00%
Total,< 6 months,0,SMALLPOX VACCINE,SMALL,,,37,0.01%
,< 6 months,0,TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL),TDAP,Female,F,54,0.01%
,< 6 months,0,TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL),TDAP,Male,M,51,0.01%
,< 6 months,0,TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL),TDAP,Unknown,U,9,0.00%
Total,< 6 months,0,TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL),TDAP,,,114,0.02%
,< 6 months,0,"TETANUS AND DIPHTHERIA TOXOIDS, ADULT",TD,Female,F,28,0.00%
,< 6 months,0,"TETANUS AND DIPHTHERIA TOXOIDS, ADULT",TD,Male,M,24,0.00%
Total,< 6 months,0,"TETANUS AND DIPHTHERIA TOXOIDS, ADULT",TD,,,52,0.01%
,< 6 months,0,TETANUS TOXOID,TTOX,Female,F,8,0.00%
,< 6 months,0,TETANUS TOXOID,TTOX,Male,M,7,0.00%
,< 6 months,0,TETANUS TOXOID,TTOX,Unknown,U,1,0.00%
Total,< 6 months,0,TETANUS TOXOID,TTOX,,,16,0.00%
,< 6 months,0,TETRAMUNE,DTAPH,Female,F,51,0.01%
,< 6 months,0,TETRAMUNE,DTAPH,Male,M,55,0.01%
,< 6 months,0,TETRAMUNE,DTAPH,Unknown,U,1,0.00%
Total,< 6 months,0,TETRAMUNE,DTAPH,,,107,0.02%
,< 6 months,0,TYPHOID VACCINE,TYP,Female,F,3,0.00%
Total,< 6 months,0,TYPHOID VACCINE,TYP,,,3,0.00%
,< 6 months,0,VARIVAX-VARICELLA VIRUS LIVE,VARCEL,Female,F,123,0.02%
,< 6 months,0,VARIVAX-VARICELLA VIRUS LIVE,VARCEL,Male,M,120,0.02%
,< 6 months,0,VARIVAX-VARICELLA VIRUS LIVE,VARCEL,Unknown,U,34,0.01%
Total,< 6 months,0,VARIVAX-VARICELLA VIRUS LIVE,VARCEL,,,277,0.04%
,< 6 months,0,ZOSTER VACCINE,VARZOS,Female,F,8,0.00%
,< 6 months,0,ZOSTER VACCINE,VARZOS,Male,M,2,0.00%
,< 6 months,0,ZOSTER VACCINE,VARZOS,Unknown,U,5,0.00%
Total,< 6 months,0,ZOSTER VACCINE,VARZOS,,,15,0.00%
,< 6 months,0,UNKNOWN VACCINES,UNK,Female,F,130,0.02%
,< 6 months,0,UNKNOWN VACCINES,UNK,Male,M,148,0.02%
,< 6 months,0,UNKNOWN VACCINES,UNK,Unknown,U,15,0.00%
Total,< 6 months,0,UNKNOWN VACCINES,UNK,,,293,0.04%
Total,< 6 months,0,,,,,105012,15.48%
,6-11 months,1,BACILLUS CALMETTE-GUERIN VACCINE,BCG,Female,F,2,0.00%
,6-11 months,1,BACILLUS CALMETTE-GUERIN VACCINE,BCG,Male,M,2,0.00%
Total,6-11 months,1,BACILLUS CALMETTE-GUERIN VACCINE,BCG,,,4,0.00%
,6-11 months,1,CHOLERA VACCINE,CHOL,Female,F,2,0.00%
,6-11 months,1,CHOLERA VACCINE,CHOL,Male,M,2,0.00%
Total,6-11 months,1,CHOLERA VACCINE,CHOL,,,4,0.00%
,6-11 months,1,COMVAX,HBHEPB,Female,F,280,0.04%
,6-11 months,1,COMVAX,HBHEPB,Male,M,334,0.05%
,6-11 months,1,COMVAX,HBHEPB,Unknown,U,8,0.00%
Total,6-11 months,1,COMVAX,HBHEPB,,,622,0.09%
,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS ACELLULAR PERTUSSIS POLIOVIRUS INACTIVATED  HAEMOPHILUS INFLUENZA B AND HEPATITIS B VACCINE (HEXAVAX),6VAX-F,Female,F,23,0.00%
,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS ACELLULAR PERTUSSIS POLIOVIRUS INACTIVATED  HAEMOPHILUS INFLUENZA B AND HEPATITIS B VACCINE (HEXAVAX),6VAX-F,Male,M,21,0.00%
Total,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS ACELLULAR PERTUSSIS POLIOVIRUS INACTIVATED  HAEMOPHILUS INFLUENZA B AND HEPATITIS B VACCINE (HEXAVAX),6VAX-F,,,44,0.01%
,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE,DTAP,Female,F,1534,0.23%
,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE,DTAP,Male,M,1835,0.27%
,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE,DTAP,Unknown,U,64,0.01%
Total,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE,DTAP,,,3433,0.51%
,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE  + INACTIVATED POLIOVIRUS VACCINE    ,DTAPIPV,Female,F,57,0.01%
,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE  + INACTIVATED POLIOVIRUS VACCINE    ,DTAPIPV,Male,M,81,0.01%
,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE  + INACTIVATED POLIOVIRUS VACCINE    ,DTAPIPV,Unknown,U,26,0.00%
Total,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE  + INACTIVATED POLIOVIRUS VACCINE    ,DTAPIPV,,,164,0.02%
,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE ,DTAPHEPBIP,Female,F,1143,0.17%
,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE ,DTAPHEPBIP,Male,M,1242,0.18%
,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE ,DTAPHEPBIP,Unknown,U,33,0.00%
Total,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE ,DTAPHEPBIP,,,2418,0.36%
,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE,DTAPIPVHIB,Female,F,751,0.11%
,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE,DTAPIPVHIB,Male,M,825,0.12%
,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE,DTAPIPVHIB,Unknown,U,43,0.01%
Total,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE,DTAPIPVHIB,,,1619,0.24%
,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS AND PERTUSSIS VACCINE,DTP,Female,F,1615,0.24%
,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS AND PERTUSSIS VACCINE,DTP,Male,M,1826,0.27%
,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS AND PERTUSSIS VACCINE,DTP,Unknown,U,58,0.01%
Total,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS AND PERTUSSIS VACCINE,DTP,,,3499,0.52%
,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS AND PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE (TETANUS TOXOID CONJUGATE),DTPPHIB,Female,F,4,0.00%
,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS AND PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE (TETANUS TOXOID CONJUGATE),DTPPHIB,Male,M,7,0.00%
Total,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS AND PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE (TETANUS TOXOID CONJUGATE),DTPPHIB,,,11,0.00%
,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS PERTUSSIS AND HAEMOPHILUS INFLUENZA B VACCINE (HEXAVAX),DTPHIB,Female,F,548,0.08%
,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS PERTUSSIS AND HAEMOPHILUS INFLUENZA B VACCINE (HEXAVAX),DTPHIB,Male,M,651,0.10%
,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS PERTUSSIS AND HAEMOPHILUS INFLUENZA B VACCINE (HEXAVAX),DTPHIB,Unknown,U,28,0.00%
Total,6-11 months,1,DIPHTHERIA AND TETANUS TOXOIDS PERTUSSIS AND HAEMOPHILUS INFLUENZA B VACCINE (HEXAVAX),DTPHIB,,,1227,0.18%
,6-11 months,1,"DIPHTHERIA AND TETANUS TOXOIDS, PEDIATRIC",DT,Female,F,49,0.01%
,6-11 months,1,"DIPHTHERIA AND TETANUS TOXOIDS, PEDIATRIC",DT,Male,M,57,0.01%
Total,6-11 months,1,"DIPHTHERIA AND TETANUS TOXOIDS, PEDIATRIC",DT,,,106,0.02%
,6-11 months,1,DIPHTHERIA TOXOID,DTOX,Female,F,2,0.00%
Total,6-11 months,1,DIPHTHERIA TOXOID,DTOX,,,2,0.00%
,6-11 months,1,DIPHTHERIA/PERTUSSIS/POLIO (ORAL [LIVE] OR INACTIVATED NOT NOTED),DPP,Female,F,10,0.00%
,6-11 months,1,DIPHTHERIA/PERTUSSIS/POLIO (ORAL [LIVE] OR INACTIVATED NOT NOTED),DPP,Male,M,6,0.00%
Total,6-11 months,1,DIPHTHERIA/PERTUSSIS/POLIO (ORAL [LIVE] OR INACTIVATED NOT NOTED),DPP,,,16,0.00%
,6-11 months,1,DIPHTHERIA/TETANUS/PERTUSSIS/HEPATITIS B,DTPHEP,Female,F,4,0.00%
,6-11 months,1,DIPHTHERIA/TETANUS/PERTUSSIS/HEPATITIS B,DTPHEP,Male,M,2,0.00%
Total,6-11 months,1,DIPHTHERIA/TETANUS/PERTUSSIS/HEPATITIS B,DTPHEP,,,6,0.00%
,6-11 months,1,DIPHTHERIA/TETANUS/WHOLE PERTUSSIS-INACTIVATED POLIO VIRUS-HAEMOPHILUS INFLUENZA B (PENTACOQR),DTPIHI,Female,F,6,0.00%
,6-11 months,1,DIPHTHERIA/TETANUS/WHOLE PERTUSSIS-INACTIVATED POLIO VIRUS-HAEMOPHILUS INFLUENZA B (PENTACOQR),DTPIHI,Male,M,3,0.00%
Total,6-11 months,1,DIPHTHERIA/TETANUS/WHOLE PERTUSSIS-INACTIVATED POLIO VIRUS-HAEMOPHILUS INFLUENZA B (PENTACOQR),DTPIHI,,,9,0.00%
,6-11 months,1,DT-IPV COMBINED DT AND IPV VACCINE,DTIPV,Male,M,1,0.00%
Total,6-11 months,1,DT-IPV COMBINED DT AND IPV VACCINE,DTIPV,,,1,0.00%
,6-11 months,1,DTP-IPV COMBINED DTP AND IPV VACCINE,DTPIPV,Female,F,1,0.00%
,6-11 months,1,DTP-IPV COMBINED DTP AND IPV VACCINE,DTPIPV,Male,M,6,0.00%
Total,6-11 months,1,DTP-IPV COMBINED DTP AND IPV VACCINE,DTPIPV,,,7,0.00%
,6-11 months,1,HAEMOPHILUS B CONJUGATE VACCINE,HIBV,Female,F,3223,0.48%
,6-11 months,1,HAEMOPHILUS B CONJUGATE VACCINE,HIBV,Male,M,3635,0.54%
,6-11 months,1,HAEMOPHILUS B CONJUGATE VACCINE,HIBV,Unknown,U,204,0.03%
Total,6-11 months,1,HAEMOPHILUS B CONJUGATE VACCINE,HIBV,,,7062,1.04%
,6-11 months,1,HAEMOPHILUS B POLYSACCHARIDE VACCINE,HBPV,Female,F,14,0.00%
,6-11 months,1,HAEMOPHILUS B POLYSACCHARIDE VACCINE,HBPV,Male,M,24,0.00%
Total,6-11 months,1,HAEMOPHILUS B POLYSACCHARIDE VACCINE,HBPV,,,38,0.01%
,6-11 months,1,HEPATITIS A,HEPA,Female,F,100,0.01%
,6-11 months,1,HEPATITIS A,HEPA,Male,M,112,0.02%
,6-11 months,1,HEPATITIS A,HEPA,Unknown,U,73,0.01%
Total,6-11 months,1,HEPATITIS A,HEPA,,,285,0.04%
,6-11 months,1,HEPATITIS A AND HEPATITIS B VACCINE,HEPAB,Female,F,2,0.00%
,6-11 months,1,HEPATITIS A AND HEPATITIS B VACCINE,HEPAB,Male,M,2,0.00%
Total,6-11 months,1,HEPATITIS A AND HEPATITIS B VACCINE,HEPAB,,,4,0.00%
,6-11 months,1,HEPATITIS B VACCINE,HEP,Female,F,1744,0.26%
,6-11 months,1,HEPATITIS B VACCINE,HEP,Male,M,1981,0.29%
,6-11 months,1,HEPATITIS B VACCINE,HEP,Unknown,U,114,0.02%
Total,6-11 months,1,HEPATITIS B VACCINE,HEP,,,3839,0.57%
,6-11 months,1,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11, 16, 18) RECOMBINANT VACCINE",HPV4,Female,F,11,0.00%
,6-11 months,1,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11, 16, 18) RECOMBINANT VACCINE",HPV4,Male,M,9,0.00%
,6-11 months,1,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11, 16, 18) RECOMBINANT VACCINE",HPV4,Unknown,U,8,0.00%
Total,6-11 months,1,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11, 16, 18) RECOMBINANT VACCINE",HPV4,,,28,0.00%
,6-11 months,1,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11,16, 18, 31, 33, 45, 52, 58) RECOMBINANT VACCINE",HPV9,Female,F,8,0.00%
,6-11 months,1,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11,16, 18, 31, 33, 45, 52, 58) RECOMBINANT VACCINE",HPV9,Male,M,5,0.00%
,6-11 months,1,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11,16, 18, 31, 33, 45, 52, 58) RECOMBINANT VACCINE",HPV9,Unknown,U,10,0.00%
Total,6-11 months,1,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11,16, 18, 31, 33, 45, 52, 58) RECOMBINANT VACCINE",HPV9,,,23,0.00%
,6-11 months,1,HUMAN PAPILLOMAVIRUS VACCINE,HPVX,Male,M,2,0.00%
Total,6-11 months,1,HUMAN PAPILLOMAVIRUS VACCINE,HPVX,,,2,0.00%
,6-11 months,1,INFLUENZA (H1N1) MONOVALENT (INJECTED),FLU(H1N1),Female,F,85,0.01%
,6-11 months,1,INFLUENZA (H1N1) MONOVALENT (INJECTED),FLU(H1N1),Male,M,105,0.02%
,6-11 months,1,INFLUENZA (H1N1) MONOVALENT (INJECTED),FLU(H1N1),Unknown,U,6,0.00%
Total,6-11 months,1,INFLUENZA (H1N1) MONOVALENT (INJECTED),FLU(H1N1),,,196,0.03%
,6-11 months,1,"INFLUENZA (H1N1) MONOVALENT, (INTRANASAL SPRAY)",FLUN(H1N1),Female,F,12,0.00%
,6-11 months,1,"INFLUENZA (H1N1) MONOVALENT, (INTRANASAL SPRAY)",FLUN(H1N1),Male,M,16,0.00%
,6-11 months,1,"INFLUENZA (H1N1) MONOVALENT, (INTRANASAL SPRAY)",FLUN(H1N1),Unknown,U,1,0.00%
Total,6-11 months,1,"INFLUENZA (H1N1) MONOVALENT, (INTRANASAL SPRAY)",FLUN(H1N1),,,29,0.00%
,6-11 months,1,"INFLUENZA VIRUS VACCINE, NO BRAND NAME",FLUX(SEASONAL),Female,F,110,0.02%
,6-11 months,1,"INFLUENZA VIRUS VACCINE, NO BRAND NAME",FLUX(SEASONAL),Male,M,121,0.02%
,6-11 months,1,"INFLUENZA VIRUS VACCINE, NO BRAND NAME",FLUX(SEASONAL),Unknown,U,3,0.00%
Total,6-11 months,1,"INFLUENZA VIRUS VACCINE, NO BRAND NAME",FLUX(SEASONAL),,,234,0.03%
,6-11 months,1,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)",FLU4(SEASONAL),Female,F,215,0.03%
,6-11 months,1,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)",FLU4(SEASONAL),Male,M,247,0.04%
,6-11 months,1,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)",FLU4(SEASONAL),Unknown,U,20,0.00%
Total,6-11 months,1,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)",FLU4(SEASONAL),,,482,0.07%
,6-11 months,1,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INTRANASAL SPRAY)",FLUN4(SEASONAL),Female,F,15,0.00%
,6-11 months,1,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INTRANASAL SPRAY)",FLUN4(SEASONAL),Male,M,14,0.00%
,6-11 months,1,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INTRANASAL SPRAY)",FLUN4(SEASONAL),Unknown,U,4,0.00%
Total,6-11 months,1,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INTRANASAL SPRAY)",FLUN4(SEASONAL),,,33,0.00%
,6-11 months,1,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, CELL-CULTURE-DERIVED (INJECTED)",FLUC4(SEASONAL),Female,F,4,0.00%
,6-11 months,1,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, CELL-CULTURE-DERIVED (INJECTED)",FLUC4(SEASONAL),Male,M,7,0.00%
Total,6-11 months,1,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, CELL-CULTURE-DERIVED (INJECTED)",FLUC4(SEASONAL),,,11,0.00%
,6-11 months,1,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, RECOMBINANT (INJECTED)",FLUR4(SEASONAL),Female,F,1,0.00%
,6-11 months,1,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, RECOMBINANT (INJECTED)",FLUR4(SEASONAL),Male,M,1,0.00%
Total,6-11 months,1,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, RECOMBINANT (INJECTED)",FLUR4(SEASONAL),,,2,0.00%
,6-11 months,1,"INFLUENZA VIRUS VACCINE, TRIVALENT (INJECTED)",FLU3(SEASONAL),Female,F,697,0.10%
,6-11 months,1,"INFLUENZA VIRUS VACCINE, TRIVALENT (INJECTED)",FLU3(SEASONAL),Male,M,772,0.11%
,6-11 months,1,"INFLUENZA VIRUS VACCINE, TRIVALENT (INJECTED)",FLU3(SEASONAL),Unknown,U,52,0.01%
Total,6-11 months,1,"INFLUENZA VIRUS VACCINE, TRIVALENT (INJECTED)",FLU3(SEASONAL),,,1521,0.22%
,6-11 months,1,"INFLUENZA VIRUS VACCINE, TRIVALENT (INTRANASAL SPRAY)",FLUN3(SEASONAL),Female,F,16,0.00%
,6-11 months,1,"INFLUENZA VIRUS VACCINE, TRIVALENT (INTRANASAL SPRAY)",FLUN3(SEASONAL),Male,M,21,0.00%
,6-11 months,1,"INFLUENZA VIRUS VACCINE, TRIVALENT (INTRANASAL SPRAY)",FLUN3(SEASONAL),Unknown,U,6,0.00%
Total,6-11 months,1,"INFLUENZA VIRUS VACCINE, TRIVALENT (INTRANASAL SPRAY)",FLUN3(SEASONAL),,,43,0.01%
,6-11 months,1,"INFLUENZA VIRUS VACCINE, TRIVALENT, ADJUVANT (INJECTED)",FLUA3(SEASONAL),Female,F,2,0.00%
,6-11 months,1,"INFLUENZA VIRUS VACCINE, TRIVALENT, ADJUVANT (INJECTED)",FLUA3(SEASONAL),Male,M,1,0.00%
Total,6-11 months,1,"INFLUENZA VIRUS VACCINE, TRIVALENT, ADJUVANT (INJECTED)",FLUA3(SEASONAL),,,3,0.00%
,6-11 months,1,"INFLUENZA VIRUS VACCINE, TRIVALENT, CELL-CULTURE-DERIVED (INJECTED)",FLUC3(SEASONAL),Female,F,3,0.00%
Total,6-11 months,1,"INFLUENZA VIRUS VACCINE, TRIVALENT, CELL-CULTURE-DERIVED (INJECTED)",FLUC3(SEASONAL),,,3,0.00%
,6-11 months,1,"INFLUENZA(H1N1) MONOVALENT, UNKNOWN MANUFACTURER",FLUX(H1N1),Female,F,11,0.00%
,6-11 months,1,"INFLUENZA(H1N1) MONOVALENT, UNKNOWN MANUFACTURER",FLUX(H1N1),Male,M,13,0.00%
Total,6-11 months,1,"INFLUENZA(H1N1) MONOVALENT, UNKNOWN MANUFACTURER",FLUX(H1N1),,,24,0.00%
,6-11 months,1,JAPANESE ENCEPHALITIS VIRUS VACCINE,JEV,Male,M,1,0.00%
Total,6-11 months,1,JAPANESE ENCEPHALITIS VIRUS VACCINE,JEV,,,1,0.00%
,6-11 months,1,LYME VACCINE (LYMERIX),LYME,Female,F,1,0.00%
Total,6-11 months,1,LYME VACCINE (LYMERIX),LYME,,,1,0.00%
,6-11 months,1,MEASLES VACCINE,MEA,Female,F,20,0.00%
,6-11 months,1,MEASLES VACCINE,MEA,Male,M,23,0.00%
Total,6-11 months,1,MEASLES VACCINE,MEA,,,43,0.01%
,6-11 months,1,"MEASLES, MUMPS AND RUBELLA VIRUS VACCINE, LIVE",MMR,Female,F,132,0.02%
,6-11 months,1,"MEASLES, MUMPS AND RUBELLA VIRUS VACCINE, LIVE",MMR,Male,M,167,0.02%
,6-11 months,1,"MEASLES, MUMPS AND RUBELLA VIRUS VACCINE, LIVE",MMR,Unknown,U,38,0.01%
Total,6-11 months,1,"MEASLES, MUMPS AND RUBELLA VIRUS VACCINE, LIVE",MMR,,,337,0.05%
,6-11 months,1,"MEASLES, MUMPS, RUBELLA, AND VARICELLA VACCINE (PROQUAD)",MMRV,Female,F,21,0.00%
,6-11 months,1,"MEASLES, MUMPS, RUBELLA, AND VARICELLA VACCINE (PROQUAD)",MMRV,Male,M,21,0.00%
,6-11 months,1,"MEASLES, MUMPS, RUBELLA, AND VARICELLA VACCINE (PROQUAD)",MMRV,Unknown,U,16,0.00%
Total,6-11 months,1,"MEASLES, MUMPS, RUBELLA, AND VARICELLA VACCINE (PROQUAD)",MMRV,,,58,0.01%
,6-11 months,1,MENINGICOCCAL GROUP C & Y + HIB,MNQHIB,Female,F,1,0.00%
,6-11 months,1,MENINGICOCCAL GROUP C & Y + HIB,MNQHIB,Male,M,1,0.00%
Total,6-11 months,1,MENINGICOCCAL GROUP C & Y + HIB,MNQHIB,,,2,0.00%
,6-11 months,1,MENINGOCOCCAL B VACCINE,MENB,Male,M,3,0.00%
,6-11 months,1,MENINGOCOCCAL B VACCINE,MENB,Unknown,U,1,0.00%
Total,6-11 months,1,MENINGOCOCCAL B VACCINE,MENB,,,4,0.00%
,6-11 months,1,MENINGOCOCCAL POLYSACCHARIDE VACCINE,MEN,Female,F,4,0.00%
,6-11 months,1,MENINGOCOCCAL POLYSACCHARIDE VACCINE,MEN,Male,M,3,0.00%
Total,6-11 months,1,MENINGOCOCCAL POLYSACCHARIDE VACCINE,MEN,,,7,0.00%
,6-11 months,1,MENINGOCOCCAL VACCINE (MENACTRA),MNQ,Female,F,21,0.00%
,6-11 months,1,MENINGOCOCCAL VACCINE (MENACTRA),MNQ,Male,M,27,0.00%
,6-11 months,1,MENINGOCOCCAL VACCINE (MENACTRA),MNQ,Unknown,U,4,0.00%
Total,6-11 months,1,MENINGOCOCCAL VACCINE (MENACTRA),MNQ,,,52,0.01%
,6-11 months,1,"MUMPS AND RUBELLA VIRUS VACCINE, LIVE",MUR,Male,M,1,0.00%
Total,6-11 months,1,"MUMPS AND RUBELLA VIRUS VACCINE, LIVE",MUR,,,1,0.00%
,6-11 months,1,PANDEMIC FLU VACCINE,H5N1,Male,M,1,0.00%
Total,6-11 months,1,PANDEMIC FLU VACCINE,H5N1,,,1,0.00%
,6-11 months,1,"PERTUSSIS, ADSORBED VACCINE",PER,Female,F,2,0.00%
,6-11 months,1,"PERTUSSIS, ADSORBED VACCINE",PER,Male,M,4,0.00%
,6-11 months,1,"PERTUSSIS, ADSORBED VACCINE",PER,Unknown,U,1,0.00%
Total,6-11 months,1,"PERTUSSIS, ADSORBED VACCINE",PER,,,7,0.00%
,6-11 months,1,"PNEUMOCOCCAL VACCINE, POLYVALENT",PPV,Female,F,142,0.02%
,6-11 months,1,"PNEUMOCOCCAL VACCINE, POLYVALENT",PPV,Male,M,160,0.02%
,6-11 months,1,"PNEUMOCOCCAL VACCINE, POLYVALENT",PPV,Unknown,U,35,0.01%
Total,6-11 months,1,"PNEUMOCOCCAL VACCINE, POLYVALENT",PPV,,,337,0.05%
,6-11 months,1,"PNEUMOCOCCAL, 10-VALENT VACCINE (SYNFLORIX)",PNC10,Female,F,1,0.00%
,6-11 months,1,"PNEUMOCOCCAL, 10-VALENT VACCINE (SYNFLORIX)",PNC10,Male,M,1,0.00%
Total,6-11 months,1,"PNEUMOCOCCAL, 10-VALENT VACCINE (SYNFLORIX)",PNC10,,,2,0.00%
,6-11 months,1,"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR)",PNC13,Female,F,1091,0.16%
,6-11 months,1,"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR)",PNC13,Male,M,1199,0.18%
,6-11 months,1,"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR)",PNC13,Unknown,U,33,0.00%
Total,6-11 months,1,"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR)",PNC13,,,2323,0.34%
,6-11 months,1,"PNEUMOCOCCAL, 7-VALENT VACCINE (PREVNAR)",PNC,Female,F,1807,0.27%
,6-11 months,1,"PNEUMOCOCCAL, 7-VALENT VACCINE (PREVNAR)",PNC,Male,M,1924,0.28%
,6-11 months,1,"PNEUMOCOCCAL, 7-VALENT VACCINE (PREVNAR)",PNC,Unknown,U,51,0.01%
Total,6-11 months,1,"PNEUMOCOCCAL, 7-VALENT VACCINE (PREVNAR)",PNC,,,3782,0.56%
,6-11 months,1,POLIOVIRUS VACCINE INACTIVATED,IPV,Female,F,876,0.13%
,6-11 months,1,POLIOVIRUS VACCINE INACTIVATED,IPV,Male,M,1006,0.15%
,6-11 months,1,POLIOVIRUS VACCINE INACTIVATED,IPV,Unknown,U,27,0.00%
